"Path","Classification","TargetId","Length","Sha256","MatchesCanonical"
"C:\Users\adria\.codex\AGENTS.md","MANAGED_REPLICA_MATCH","global-codex","21645","85f2575bdd22342f02baa6540725b5837a8fe72d6def368d1f33ea94a22720d2","True"
"D:\Documents\Codex\_verification\v084-live-operations-performance-b1359c2\AGENTS.md","UNKNOWN_REQUIRES_PRESERVATION",,"19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\_verification\v83-final-gate-f8e6337\AGENTS.md","UNKNOWN_REQUIRES_PRESERVATION",,"19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\Astral-Bridge\AGENTS.md","MANAGED_REPLICA_DRIFT","astral-bridge","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\backups\agents-consolidation-002\20260820T173802Z\astral-bridge-active\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"18562","66554a916d7080e040332d30fb93b9441b296f805cf3a47b5c350caaaa7ce769","False"
"D:\Documents\Codex\backups\agents-consolidation-002\astral-bridge-worktrees\20260820T173802Z\astral-bridge-agents-authorized-efc7a12\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15583","dbf0cbafa7ccb0a732f89ba30055927606ea33d94b84f006027a4d693b96017f","False"
"D:\Documents\Codex\backups\agents-consolidation-002\astral-bridge-worktrees\20260820T173802Z\astral-bridge-agents-consolidation-001\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"18562","66554a916d7080e040332d30fb93b9441b296f805cf3a47b5c350caaaa7ce769","False"
"D:\Documents\Codex\backups\figma-authority-20260822\20260822T0021PHT\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\GitHub\gpt-context-vault\AGENTS.md","CANONICAL_MASTER","context-vault-canonical","21645","85f2575bdd22342f02baa6540725b5837a8fe72d6def368d1f33ea94a22720d2","True"
"D:\Documents\Codex\HAU-USC Logistics\active\hau-usc-logistics-management-system\AGENTS.md","MANAGED_REPLICA_MATCH","hau-usc-logistics","21645","85f2575bdd22342f02baa6540725b5837a8fe72d6def368d1f33ea94a22720d2","True"
"D:\Documents\Codex\HAU-USC Logistics\archives\old-prototype\20260715\HAU_USC_Logistics_Apps_Script\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"2648","0ffe0fead1e111f7fe8cba4750fa687cf130806dc9cdba9e6f78b49b1aa0ecc2","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\active\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
