"Path","Drive","FileName","ExactUppercase","Length","LastWriteTimeUtc","Sha256","Classification","GitRoot","Branch","Head","Tracked"
"C:\Users\adria\.agents\backups\hallmark-install-20260802-184155\AGENTS.md","C:\","AGENTS.md","True","10729","2026-07-26T08:01:56.6416551Z","fbed46f8549f8eaa3140dbffd8de350dbc5b8416045dd5395d0798071eb82926","BACKUP_EXAMPLE_TEST",,,,
"C:\Users\adria\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\lean-ctx-3.9.12\AGENTS.md","C:\","AGENTS.md","True","246","2006-07-24T01:21:28.0000000Z","50c56ef7a987a5d042902952549a0e24387fc16fd01759593789bf403d589e1c","THIRD_PARTY_VENDOR_PACKAGE_PLUGIN",,,,
"C:\Users\adria\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\zerocopy-0.8.52\AGENTS.md","C:\","AGENTS.md","True","3112","2006-07-24T01:21:28.0000000Z","24b16178226d2f96cafd03eed01113b4b0240c9e6a6cd938a155e991b4f11034","THIRD_PARTY_VENDOR_PACKAGE_PLUGIN",,,,
"C:\Users\adria\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\zerocopy-0.8.55\AGENTS.md","C:\","AGENTS.md","True","3112","2006-07-24T01:21:28.0000000Z","24b16178226d2f96cafd03eed01113b4b0240c9e6a6cd938a155e991b4f11034","THIRD_PARTY_VENDOR_PACKAGE_PLUGIN",,,,
"C:\Users\adria\.claude\plugins\marketplaces\impeccable\AGENTS.md","C:\","AGENTS.md","True","14150","2026-08-06T16:30:49.1031459Z","d2a2b1c4f5d0a49c467adfbe263efcc0eec785855b3c5a1e976e337a23076bd4","THIRD_PARTY_VENDOR_PACKAGE_PLUGIN",,,,
"C:\Users\adria\.codex\.tmp\bundled-marketplaces\openai-bundled.staging-d8b227ca-4295-4790-949b-ff0fa80e8057\plugins\sites\AGENTS.md","C:\","AGENTS.md","True","932","2026-07-25T03:49:49.4182605Z","1948b53b13790189e85281254c899005ca22c86f4eb7b664fffdc0b52d9b10ea","THIRD_PARTY_VENDOR_PACKAGE_PLUGIN",,,,
"C:\Users\adria\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\sites\AGENTS.md","C:\","AGENTS.md","True","932","2026-07-25T03:49:49.4182605Z","1948b53b13790189e85281254c899005ca22c86f4eb7b664fffdc0b52d9b10ea","THIRD_PARTY_VENDOR_PACKAGE_PLUGIN",,,,
"C:\Users\adria\.codex\.tmp\plugins\plugins\build-web-apps\skills\react-best-practices\AGENTS.md","C:\","AGENTS.md","True","97869","2026-08-03T16:49:30.1980734Z","924b5c33d0f671769467ac8b10ed98c9708d6db3e5465cc3dec368454ff059d0","THIRD_PARTY_VENDOR_PACKAGE_PLUGIN",,,,
"C:\Users\adria\.codex\.tmp\plugins\plugins\build-web-apps\skills\supabase-best-practices\AGENTS.md","C:\","AGENTS.md","True","2227","2026-08-03T16:49:30.2604139Z","f3336d9942583a30df20e4bad03adeb48d1f246583999979e5cceb215bda55e9","THIRD_PARTY_VENDOR_PACKAGE_PLUGIN",,,,
"C:\Users\adria\.codex\.tmp\plugins\plugins\zoom\AGENTS.md","C:\","AGENTS.md","True","475","2026-08-03T16:49:33.6383349Z","6632c3523fb0b61e98d689724ceaa19fd3f7d9dc50aff78c5e4c891a441ee3de","THIRD_PARTY_VENDOR_PACKAGE_PLUGIN",,,,
