"Path","Classification","TargetId","Length","Sha256","MatchesCanonical"
"C:\Users\adria\.codex\AGENTS.md","MANAGED_REPLICA_MATCH","global-codex","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","True"
"D:\Documents\Codex\Astral-Bridge\AGENTS.md","MANAGED_REPLICA_MATCH","astral-bridge","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","True"
"D:\Documents\Codex\backups\agents-consolidation-002\20260820T173802Z\astral-bridge-active\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"18562","66554a916d7080e040332d30fb93b9441b296f805cf3a47b5c350caaaa7ce769","False"
"D:\Documents\Codex\backups\agents-consolidation-002\astral-bridge-worktrees\20260820T173802Z\astral-bridge-agents-authorized-efc7a12\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15583","dbf0cbafa7ccb0a732f89ba30055927606ea33d94b84f006027a4d693b96017f","False"
"D:\Documents\Codex\backups\agents-consolidation-002\astral-bridge-worktrees\20260820T173802Z\astral-bridge-agents-consolidation-001\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"18562","66554a916d7080e040332d30fb93b9441b296f805cf3a47b5c350caaaa7ce769","False"
"D:\Documents\Codex\GitHub\gpt-context-vault\AGENTS.md","CANONICAL_MASTER","context-vault-canonical","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","True"
"D:\Documents\Codex\HAU-USC Logistics\active\hau-usc-logistics-management-system\AGENTS.md","MANAGED_REPLICA_MATCH","hau-usc-logistics","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","True"
"D:\Documents\Codex\HAU-USC Logistics\archives\old-prototype\20260715\HAU_USC_Logistics_Apps_Script\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"2648","0ffe0fead1e111f7fe8cba4750fa687cf130806dc9cdba9e6f78b49b1aa0ecc2","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\active\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\design-dna-staging-2026-08-10\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"10335","0d64b83e92748440ff23199660e7a65400f4fac2fd18b1fa5766b2822cf8535d","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\playground-owner-feedback-2026-08-10\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\spec-v073-frontend-design-integration\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"8334","ca53d79b4d6a3fd07912f087eac26e9b8a9fb52cc88914f7224ae2caef10b150","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-production-execution-eb14cd81\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"16044","eeb436f36724e763e26def5b2dd1c8239a8177d3e58bb8ce71e7f27e77c51f3f","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s09-auth-reset-atomicity\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s09-lane-a\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s09-release-preflight\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s10-evidence-bb652506\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"16044","eeb436f36724e763e26def5b2dd1c8239a8177d3e58bb8ce71e7f27e77c51f3f","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s11-generator-eol\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
