"Path","Classification","TargetId","Length","Sha256","MatchesCanonical"
"C:\Users\adria\.codex\AGENTS.md","MANAGED_REPLICA_DRIFT","global-codex","19205","667edea5b9e4f73dc29308c682f424f82bf3d83040233de9e8e2b4ff9feabc3e","False"
"D:\Documents\Codex\Astral-Bridge\AGENTS.md","MANAGED_REPLICA_DRIFT","astral-bridge","18562","66554a916d7080e040332d30fb93b9441b296f805cf3a47b5c350caaaa7ce769","False"
"D:\Documents\Codex\GitHub\gpt-context-vault\AGENTS.md","CANONICAL_MASTER","context-vault-canonical","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","True"
"D:\Documents\Codex\HAU-USC Logistics\active\hau-usc-logistics-management-system\AGENTS.md","PROJECT_SPECIFIC_LEGACY","hau-usc-logistics","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\archives\old-prototype\20260715\HAU_USC_Logistics_Apps_Script\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"2648","0ffe0fead1e111f7fe8cba4750fa687cf130806dc9cdba9e6f78b49b1aa0ecc2","False"
"D:\Documents\Codex\HAU-USC Logistics\private-config\evidence\slice-13-demo-20260716\gate-b-20260718-113245\history-a3fffb9-full\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"3622","b1b439b808adfaa5d54d6a1a20465f7acee9180def61675ff007fe115db7e910","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\design-dna-staging-2026-08-10\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:design-dna-staging-2026-08-10","10335","0d64b83e92748440ff23199660e7a65400f4fac2fd18b1fa5766b2822cf8535d","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\playground-owner-feedback-2026-08-10\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:playground-owner-feedback-2026-08-10","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\spec-v073-frontend-design-integration\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:spec-v073-frontend-design-integration","8334","ca53d79b4d6a3fd07912f087eac26e9b8a9fb52cc88914f7224ae2caef10b150","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-production-execution-eb14cd81\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-production-execution-eb14cd81","16044","eeb436f36724e763e26def5b2dd1c8239a8177d3e58bb8ce71e7f27e77c51f3f","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s09-auth-reset-atomicity\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s09-auth-reset-atomicity","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s09-lane-a\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s09-lane-a","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s09-release-preflight\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s09-release-preflight","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s10-evidence-bb652506\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s10-evidence-bb652506","16044","eeb436f36724e763e26def5b2dd1c8239a8177d3e58bb8ce71e7f27e77c51f3f","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s11-generator-eol\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s11-generator-eol","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-cloudflare-fresh-d1-startup-budget\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-cloudflare-fresh-d1-startup-budget","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-internal-verification-aa083567\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-internal-verification-aa083567","16044","eeb436f36724e763e26def5b2dd1c8239a8177d3e58bb8ce71e7f27e77c51f3f","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-a2-access-directory\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-a2-access-directory","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-a-closure\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-a-closure","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-a-current-ui\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-a-current-ui","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-a-mobile-topbar-gap\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-a-mobile-topbar-gap","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-d-denied-renderer\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-d-denied-renderer","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-g-generator-replacement\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-g-generator-replacement","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-p-revision-sync\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-p-revision-sync","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-r2-request-search\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-r2-request-search","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-r-rv01-closure\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-r-rv01-closure","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-t-static-contract\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-t-static-contract","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-lane-w-workspace-auth\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-lane-w-workspace-auth","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-recovery-4ded0bc2\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-recovery-4ded0bc2","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-rv01-post-review-truth\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-rv01-post-review-truth","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-v5-functional-closure\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-v5-functional-closure","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v082-s06-controlled-a3477ae-20260813-2338\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v082-s06-controlled-a3477ae-20260813-2338","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v082-s06-controlled-replacement-a3477ae-20260813-2348\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v082-s06-controlled-replacement-a3477ae-20260813-2348","15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
